age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status
39,Employed,13.5,93708,696,6.7,3514,10194,0,0,0,Personal Loan,Education,55400,12.97,0.109,0.591,0.197,1
18,Employed,0.0,16880,619,1.2,19,3963,0,0,0,Personal Loan,Education,1000,13.57,0.235,0.059,0.02,1
58,Employed,27.7,134752,629,4.7,185,28378,0,0,0,Personal Loan,Personal,68600,14.76,0.211,0.509,0.17,1
38,Employed,5.4,103152,639,19.2,1529,37815,0,2,0,Personal Loan,Debt Consolidation,58700,14.02,0.367,0.569,0.19,0
21,Self-Employed,1.0,55398,666,2.9,3399,5718,0,0,0,Personal Loan,Education,91700,11.97,0.103,1.655,0.552,1
43,Student,1.3,30055,673,20.9,443,12025,0,0,0,Personal Loan,Personal,19800,12.54,0.4,0.659,0.22,1
48,Employed,14.7,43971,600,8.3,8881,9361,0,1,0,Personal Loan,Medical,31500,14.05,0.213,0.716,0.239,1
38,Self-Employed,3.3,161773,651,8.7,29745,76509,0,0,0,Personal Loan,Personal,70800,12.98,0.473,0.438,0.146,1
34,Employed,15.6,44112,532,12.0,191,16679,0,0,1,Personal Loan,Debt Consolidation,47000,16.53,0.378,1.065,0.355,0
24,Employed,5.4,38475,633,2.0,71,7176,0,0,0,Personal Loan,Medical,47000,13.14,0.187,1.222,0.407,1
28,Employed,1.0,47042,712,9.9,2151,20611,0,0,0,Personal Loan,Education,90200,10.05,0.438,1.917,0.639,1
41,Employed,10.0,25379,680,3.5,2004,6557,0,0,0,Personal Loan,Personal,21000,12.89,0.258,0.827,0.276,1
24,Employed,3.1,29940,614,1.9,107,11219,0,2,0,Personal Loan,Business,4900,13.09,0.375,0.164,0.055,0
42,Employed,13.3,59365,679,17.9,1119,18485,0,0,0,Personal Loan,Business,15200,12.41,0.311,0.256,0.085,1
42,Student,0.2,23772,586,16.0,5502,9870,0,1,2,Personal Loan,Education,9700,16.37,0.415,0.408,0.136,0
35,Employed,12.7,37383,612,8.9,2361,15553,0,0,0,Personal Loan,Business,16800,14.48,0.416,0.449,0.15,0
27,Self-Employed,2.1,21569,526,7.7,149,8324,0,0,0,Personal Loan,Personal,19300,15.98,0.386,0.895,0.298,0
18,Employed,0.0,58125,604,1.9,2393,19492,0,2,0,Personal Loan,Personal,96700,13.32,0.335,1.664,0.555,0
42,Employed,23.4,23904,672,3.1,747,9227,1,4,0,Personal Loan,Medical,31700,12.36,0.386,1.326,0.442,0
41,Employed,22.7,44513,651,22.5,2967,21230,0,0,0,Personal Loan,Business,36000,12.84,0.477,0.809,0.27,1
39,Employed,13.9,25852,627,7.7,498,5906,0,1,0,Personal Loan,Education,38100,13.95,0.228,1.474,0.491,1
38,Employed,7.2,91724,612,5.0,148,40701,0,2,0,Personal Loan,Medical,49800,14.31,0.444,0.543,0.181,0
48,Student,0.5,30489,610,4.3,52,12717,0,0,1,Personal Loan,Medical,15000,13.43,0.417,0.492,0.164,1
37,Self-Employed,11.9,48623,571,0.3,313,19995,0,1,1,Personal Loan,Education,9500,16.62,0.411,0.195,0.065,0
37,Self-Employed,8.9,89745,805,0.9,2073,55307,0,1,0,Personal Loan,Education,30700,8.66,0.616,0.342,0.114,0
26,Employed,2.0,29936,709,6.8,255,12022,0,0,1,Personal Loan,Business,11900,10.13,0.402,0.398,0.133,1
23,Student,1.0,15000,689,1.9,104,8632,0,0,0,Personal Loan,Education,13600,12.52,0.575,0.907,0.302,0
48,Employed,23.1,83512,765,11.0,4133,30204,0,1,0,Personal Loan,Personal,100000,9.36,0.362,1.197,0.399,1
32,Employed,11.9,39381,588,10.1,413,20210,0,0,0,Personal Loan,Personal,51100,15.46,0.513,1.298,0.433,0
49,Student,0.8,17544,766,16.0,506,1421,0,0,0,Personal Loan,Medical,13100,9.38,0.081,0.747,0.249,1
30,Employed,0.7,28473,669,2.0,58,6736,0,0,0,Personal Loan,Medical,31500,11.46,0.237,1.106,0.369,0
26,Employed,6.5,22414,687,4.2,71,8832,0,0,0,Personal Loan,Debt Consolidation,26700,12.63,0.394,1.191,0.397,0
40,Self-Employed,8.2,61672,610,14.3,24177,12541,0,2,0,Personal Loan,Business,67700,14.19,0.203,1.098,0.366,0
18,Employed,0.0,15531,653,0.3,2,1918,0,0,0,Personal Loan,Business,20900,11.67,0.123,1.346,0.449,0
28,Self-Employed,5.1,89825,681,3.6,7179,24639,0,0,0,Personal Loan,Home Improvement,100000,12.13,0.274,1.113,0.371,1
18,Employed,0.0,32977,700,1.7,271,4824,0,0,0,Personal Loan,Medical,14900,10.29,0.146,0.452,0.151,1
38,Employed,1.3,39840,546,1.4,497,16359,0,1,3,Personal Loan,Business,54000,15.09,0.411,1.355,0.452,0
46,Employed,17.1,46690,584,18.6,1447,17807,0,1,1,Personal Loan,Home Improvement,34400,15.7,0.381,0.737,0.246,0
45,Employed,8.2,50610,684,17.6,7922,29832,0,0,0,Personal Loan,Education,78800,11.99,0.589,1.557,0.519,0
43,Employed,20.5,34103,651,12.2,12,13438,0,0,0,Personal Loan,Medical,19700,11.26,0.394,0.578,0.193,0
32,Employed,2.6,32575,688,1.7,71,7431,0,0,0,Personal Loan,Medical,13100,11.6,0.228,0.402,0.134,0
52,Self-Employed,16.7,56359,635,0.4,73,23326,0,0,1,Personal Loan,Medical,100000,13.74,0.414,1.774,0.591,0
35,Employed,16.6,51397,710,15.9,18297,8504,0,0,0,Personal Loan,Personal,20200,10.82,0.165,0.393,0.131,1
20,Self-Employed,1.0,33062,612,1.5,592,17703,0,1,0,Personal Loan,Business,66100,13.34,0.535,1.999,0.666,0
46,Employed,18.0,39399,614,24.8,1582,16296,0,0,0,Personal Loan,Home Improvement,60800,13.69,0.414,1.543,0.514,0
49,Employed,1.6,59951,634,5.3,284,42518,0,3,0,Personal Loan,Business,24700,14.73,0.709,0.412,0.137,0
18,Student,1.3,20827,625,1.9,78,4502,0,0,0,Personal Loan,Medical,20000,14.39,0.216,0.96,0.32,0
26,Employed,6.1,29095,607,4.6,2307,5765,0,1,0,Personal Loan,Education,4200,14.91,0.198,0.144,0.048,1
49,Employed,29.3,25549,679,21.4,8412,771,0,0,0,Personal Loan,Personal,27800,12.34,0.03,1.088,0.363,1
21,Employed,1.0,25281,659,1.6,22,5385,0,0,0,Personal Loan,Business,41300,12.77,0.213,1.634,0.545,0
28,Student,1.2,61729,662,2.0,330,8278,0,0,0,Personal Loan,Home Improvement,23700,12.23,0.134,0.384,0.128,1
52,Employed,12.2,121968,666,23.5,9324,44284,0,0,0,Personal Loan,Business,55900,12.89,0.363,0.458,0.153,1
53,Employed,16.5,94042,706,20.6,4556,24559,0,0,0,Personal Loan,Debt Consolidation,2600,9.57,0.261,0.028,0.009,1
18,Employed,0.0,24822,697,1.9,33,16004,0,0,0,Personal Loan,Education,43200,11.41,0.645,1.74,0.58,0
18,Employed,0.0,15000,579,0.9,70,2441,1,4,1,Personal Loan,Home Improvement,3900,15.67,0.163,0.26,0.087,0
42,Employed,2.6,64425,644,8.1,2866,12665,0,3,0,Personal Loan,Medical,100000,13.97,0.197,1.552,0.517,0
25,Self-Employed,1.7,47515,621,1.7,691,13855,0,0,0,Personal Loan,Business,60100,14.41,0.292,1.265,0.422,0
23,Employed,1.6,29924,544,1.3,624,11985,0,1,0,Personal Loan,Business,52600,15.1,0.401,1.758,0.586,0
21,Employed,0.7,29735,684,1.4,81,12581,0,1,0,Personal Loan,Personal,23600,11.72,0.423,0.794,0.265,0
39,Employed,5.2,26530,606,8.4,9544,13490,0,0,0,Personal Loan,Home Improvement,45400,14.14,0.508,1.711,0.57,0
35,Employed,15.7,134855,625,14.3,1435,56161,0,0,0,Personal Loan,Medical,12200,13.61,0.416,0.09,0.03,1
18,Employed,0.0,68704,567,0.5,281,2136,0,0,1,Personal Loan,Business,12200,16.15,0.031,0.178,0.059,0
37,Employed,10.2,31129,704,11.0,515,20147,0,0,0,Personal Loan,Education,19000,11.29,0.647,0.61,0.203,0
30,Employed,4.0,39301,588,10.1,3833,9276,0,0,1,Personal Loan,Debt Consolidation,34200,15.09,0.236,0.87,0.29,0
39,Employed,17.7,61847,645,10.8,2616,22230,0,0,0,Personal Loan,Education,45300,13.4,0.359,0.732,0.244,1
54,Employed,27.7,53084,729,8.8,22088,16470,0,0,0,Personal Loan,Education,4100,11.14,0.31,0.077,0.026,1
24,Self-Employed,1.2,47029,567,5.9,468,4380,0,1,0,Personal Loan,Medical,85000,16.12,0.093,1.807,0.602,0
51,Employed,22.1,29781,693,8.5,1565,5157,0,0,0,Personal Loan,Business,58800,11.24,0.173,1.974,0.658,1
27,Self-Employed,2.8,48054,695,0.1,36,14205,0,0,0,Personal Loan,Business,21800,12.82,0.296,0.454,0.151,1
41,Employed,22.3,43874,682,14.4,629,10402,0,0,0,Personal Loan,Education,83000,12.7,0.237,1.892,0.631,1
44,Self-Employed,3.0,60920,732,17.2,2702,22301,0,0,0,Personal Loan,Personal,3200,10.07,0.366,0.053,0.018,1
46,Self-Employed,16.8,77437,630,1.4,343,9205,0,0,0,Personal Loan,Personal,100000,14.56,0.119,1.291,0.43,0
42,Employed,16.2,37730,658,16.6,6428,17542,0,0,0,Personal Loan,Home Improvement,10300,12.86,0.465,0.273,0.091,1
42,Employed,17.6,68463,672,23.8,7304,7880,0,0,1,Personal Loan,Education,47300,12.45,0.115,0.691,0.23,1
33,Student,1.5,24787,592,13.8,24142,3047,0,0,0,Personal Loan,Education,6200,15.32,0.123,0.25,0.083,1
41,Employed,21.8,60034,579,7.8,489,36848,0,1,0,Personal Loan,Business,93200,16.04,0.614,1.552,0.517,0
42,Self-Employed,13.8,55034,608,14.2,674,13027,0,1,0,Personal Loan,Business,76000,14.33,0.237,1.381,0.46,0
28,Self-Employed,5.2,55080,605,8.2,255,9189,0,3,0,Personal Loan,Business,79900,14.18,0.167,1.451,0.484,0
44,Student,0.7,20380,726,9.0,111,8626,0,1,0,Personal Loan,Personal,30900,10.79,0.423,1.516,0.505,1
28,Employed,8.6,36232,735,0.5,140,20023,0,0,0,Personal Loan,Personal,31700,10.34,0.553,0.875,0.292,0
34,Employed,2.7,67882,741,11.2,2577,9738,0,0,0,Personal Loan,Personal,86700,10.99,0.143,1.277,0.426,1
51,Employed,6.3,35150,594,24.1,431,2751,0,1,1,Personal Loan,Debt Consolidation,26900,16.07,0.078,0.765,0.255,0
33,Employed,10.7,44166,623,3.7,296,17792,0,0,0,Personal Loan,Education,29000,13.35,0.403,0.657,0.219,1
45,Employed,13.2,27170,702,14.5,217,4829,0,0,0,Personal Loan,Education,23900,10.27,0.178,0.88,0.293,1
34,Self-Employed,11.6,36069,655,3.5,1048,5401,0,0,0,Personal Loan,Education,8700,11.23,0.15,0.241,0.08,1
40,Employed,9.5,48029,642,21.9,3266,27966,0,0,0,Personal Loan,Medical,17200,13.02,0.582,0.358,0.119,0
22,Employed,3.7,15000,593,0.9,46,5581,0,2,0,Personal Loan,Education,10400,16.36,0.372,0.693,0.231,0
32,Employed,10.4,82222,525,10.3,2612,17939,0,1,0,Personal Loan,Personal,72400,16.19,0.218,0.881,0.294,1
40,Employed,21.7,43639,634,19.0,7264,6321,0,3,0,Personal Loan,Personal,71300,13.12,0.145,1.634,0.545,0
42,Employed,14.9,71489,596,22.7,27029,14617,0,0,0,Personal Loan,Personal,100000,15.09,0.204,1.399,0.466,1
28,Employed,5.1,87820,614,5.8,2615,32575,0,1,0,Personal Loan,Medical,100000,13.4,0.371,1.139,0.38,0
46,Student,1.8,24845,689,23.2,4637,6502,0,0,0,Personal Loan,Personal,15200,11.01,0.262,0.612,0.204,1
33,Employed,0.9,27255,591,2.5,389,7594,0,0,0,Personal Loan,Medical,17900,15.45,0.279,0.657,0.219,0
46,Employed,9.9,45906,732,0.1,177,30792,0,0,0,Personal Loan,Home Improvement,86700,10.42,0.671,1.889,0.63,0
51,Self-Employed,6.0,73682,639,6.4,323,9985,0,1,1,Personal Loan,Personal,99400,14.65,0.136,1.349,0.45,1
38,Employed,3.2,25361,547,15.9,925,14930,0,0,0,Personal Loan,Personal,34400,16.45,0.589,1.356,0.452,0
24,Employed,2.5,44151,592,5.4,136,9685,0,2,0,Personal Loan,Education,24100,16.66,0.219,0.546,0.182,0
32,Employed,4.5,35914,705,1.9,129,6153,0,0,0,Personal Loan,Home Improvement,33200,11.38,0.171,0.924,0.308,1
18,Self-Employed,1.0,34090,538,0.4,37,1154,0,1,0,Personal Loan,Education,3900,16.66,0.034,0.114,0.038,1
30,Self-Employed,4.9,32124,607,3.2,166,5604,0,0,0,Personal Loan,Education,60800,13.14,0.174,1.893,0.631,1
32,Employed,6.5,28669,665,5.1,77,2668,0,1,0,Personal Loan,Personal,53200,12.89,0.093,1.856,0.619,1
31,Employed,4.5,33510,614,1.0,220,15947,0,2,0,Personal Loan,Personal,18000,13.1,0.476,0.537,0.179,0
35,Employed,7.2,55062,639,1.1,29,10730,0,0,0,Personal Loan,Personal,77200,14.6,0.195,1.402,0.467,0
33,Employed,3.0,51158,678,2.3,1176,11898,0,0,0,Personal Loan,Personal,17600,12.31,0.233,0.344,0.115,1
41,Employed,18.9,17165,588,1.0,76,6995,0,0,0,Personal Loan,Personal,30400,15.77,0.408,1.771,0.59,0
18,Employed,0.0,15000,611,1.0,165,6833,0,1,0,Personal Loan,Medical,15500,14.01,0.456,1.033,0.344,0
46,Employed,6.5,58243,744,20.7,3527,27449,0,0,0,Personal Loan,Education,77600,10.7,0.471,1.332,0.444,1
20,Employed,1.3,77485,611,1.5,122,19404,0,0,0,Personal Loan,Business,42700,13.18,0.25,0.551,0.184,0
18,Employed,0.0,23801,621,1.6,4075,2620,0,0,0,Personal Loan,Home Improvement,35400,14.36,0.11,1.487,0.496,0
57,Employed,37.4,44865,716,23.3,506,6604,0,1,0,Personal Loan,Personal,44300,10.87,0.147,0.987,0.329,1
20,Employed,0.3,21528,542,0.2,0,10134,1,3,1,Personal Loan,Home Improvement,17800,16.29,0.471,0.827,0.276,0
18,Employed,0.0,15000,523,0.4,8,1669,0,1,0,Personal Loan,Education,29800,16.83,0.111,1.987,0.662,0
35,Employed,13.9,53424,670,2.4,961,2344,0,0,0,Personal Loan,Debt Consolidation,9000,12.32,0.044,0.168,0.056,0
34,Employed,5.2,26331,536,11.5,1935,4390,0,1,1,Personal Loan,Home Improvement,31000,16.18,0.167,1.177,0.392,0
23,Employed,3.3,15000,573,3.5,352,1670,0,0,2,Personal Loan,Personal,10200,16.59,0.111,0.68,0.227,0
48,Employed,15.0,109737,743,6.6,846,80776,0,1,0,Personal Loan,Business,44400,10.32,0.736,0.405,0.135,0
18,Employed,0.0,25106,612,1.3,14,4503,0,1,0,Personal Loan,Personal,37900,13.67,0.179,1.51,0.503,0
18,Employed,0.0,15000,603,0.7,3,5431,0,1,0,Personal Loan,Personal,29400,14.1,0.362,1.96,0.653,0
64,Employed,31.6,48746,622,21.1,1534,17232,0,0,0,Personal Loan,Business,2500,14.98,0.354,0.051,0.017,0
18,Employed,0.0,18392,622,1.0,281,3891,0,0,0,Personal Loan,Personal,7300,13.09,0.212,0.397,0.132,1
27,Employed,6.9,37889,581,0.2,1,7861,0,1,1,Personal Loan,Medical,44700,15.49,0.207,1.18,0.393,0
18,Employed,0.0,15000,666,1.8,45,2638,0,0,0,Personal Loan,Personal,8800,12.54,0.176,0.587,0.196,1
40,Self-Employed,13.4,57578,616,14.4,1172,12423,0,0,0,Personal Loan,Education,40800,14.16,0.216,0.709,0.236,1
41,Employed,18.1,41554,588,1.5,193,7741,0,3,0,Personal Loan,Education,29200,15.07,0.186,0.703,0.234,0
32,Employed,8.5,53810,774,3.5,8590,25646,0,0,0,Personal Loan,Personal,100000,9.23,0.477,1.858,0.619,1
38,Student,1.5,36201,503,6.1,2090,2752,0,3,1,Personal Loan,Home Improvement,40400,16.41,0.076,1.116,0.372,0
27,Employed,7.5,47853,576,1.9,10,6545,0,2,0,Personal Loan,Medical,19900,15.22,0.137,0.416,0.139,0
46,Employed,11.9,130996,694,23.9,137095,41206,0,1,0,Personal Loan,Personal,64000,12.1,0.315,0.489,0.163,1
46,Employed,26.2,176474,735,16.6,6008,79623,0,0,0,Personal Loan,Medical,23100,9.92,0.451,0.131,0.044,1
21,Employed,2.5,23731,621,2.2,354,6534,0,2,0,Personal Loan,Personal,3000,13.84,0.275,0.126,0.042,0
22,Self-Employed,1.0,48398,645,1.8,5017,12662,0,1,0,Personal Loan,Medical,89300,14.04,0.262,1.845,0.615,0
33,Employed,13.7,75783,564,14.0,4033,27912,0,0,0,Personal Loan,Education,62500,15.87,0.368,0.825,0.275,1
33,Employed,2.8,33740,629,11.7,2034,4444,0,3,1,Personal Loan,Business,31500,13.98,0.132,0.934,0.311,0
39,Employed,20.4,58693,571,18.3,322,19167,0,0,1,Personal Loan,Medical,56500,16.69,0.327,0.963,0.321,0
40,Employed,20.2,66964,642,21.0,2330,25527,0,2,0,Personal Loan,Education,78200,13.97,0.381,1.168,0.389,1
46,Employed,0.9,46783,672,27.6,16708,16227,0,0,0,Personal Loan,Personal,12200,12.61,0.347,0.261,0.087,1
27,Employed,3.6,19489,645,3.0,3799,1485,0,0,0,Personal Loan,Medical,20200,14.57,0.076,1.036,0.345,0
18,Employed,0.0,22852,585,0.6,31,6998,0,1,0,Personal Loan,Education,39700,15.22,0.306,1.737,0.579,0
28,Employed,6.9,20313,624,4.5,348,7304,0,0,1,Personal Loan,Debt Consolidation,12800,14.62,0.36,0.63,0.21,0
38,Student,1.7,31344,677,3.6,1333,8669,0,0,0,Personal Loan,Education,42100,11.18,0.277,1.343,0.448,1
37,Student,1.1,15000,666,6.3,597,1991,0,0,1,Personal Loan,Debt Consolidation,13600,12.55,0.133,0.907,0.302,0
18,Employed,0.0,42753,595,0.5,48,13947,0,0,0,Personal Loan,Education,73600,15.93,0.326,1.722,0.574,0
33,Self-Employed,6.5,76942,575,2.3,178,23789,0,2,1,Personal Loan,Home Improvement,92300,15.77,0.309,1.2,0.4,0
18,Employed,0.0,30879,631,1.5,32,13635,0,0,0,Personal Loan,Education,41700,13.12,0.442,1.35,0.45,0
48,Employed,6.4,70682,813,0.4,27,29982,0,0,0,Personal Loan,Personal,100000,8.49,0.424,1.415,0.472,1
45,Employed,1.1,45099,684,23.9,296,9993,0,0,0,Personal Loan,Home Improvement,77400,11.87,0.222,1.716,0.572,1
48,Self-Employed,25.8,102813,690,12.0,757,19680,0,0,0,Personal Loan,Personal,73200,12.07,0.191,0.712,0.237,1
42,Student,0.5,19278,713,23.5,25938,7962,0,0,0,Personal Loan,Business,28400,10.14,0.413,1.473,0.491,0
18,Employed,0.0,34159,600,0.5,100,8764,0,0,0,Personal Loan,Personal,1500,13.59,0.257,0.044,0.015,1
35,Employed,1.2,17241,694,6.3,2346,2834,0,0,0,Personal Loan,Business,5000,11.76,0.164,0.29,0.097,1
38,Self-Employed,9.0,64510,600,19.4,1140,32153,0,1,0,Personal Loan,Personal,100000,13.53,0.498,1.55,0.517,0
34,Student,0.7,22216,626,5.9,708,4092,0,0,1,Personal Loan,Debt Consolidation,44200,14.18,0.184,1.99,0.663,0
18,Employed,0.0,21972,576,0.4,24,5787,0,2,3,Personal Loan,Home Improvement,37800,16.75,0.263,1.72,0.573,0
24,Self-Employed,1.8,40157,664,1.7,181,11102,0,0,0,Personal Loan,Education,58100,11.92,0.276,1.447,0.482,1
49,Self-Employed,7.0,28815,644,18.0,697,6438,0,0,0,Personal Loan,Business,49900,13.61,0.223,1.732,0.577,0
43,Self-Employed,12.6,75316,699,10.4,9884,11351,0,0,0,Personal Loan,Home Improvement,81600,12.91,0.151,1.083,0.361,1
18,Self-Employed,1.0,104376,656,1.1,169,42382,0,0,0,Personal Loan,Education,100000,12.03,0.406,0.958,0.319,1
44,Employed,13.4,17541,670,7.6,447,2386,0,1,0,Personal Loan,Medical,12900,11.28,0.136,0.735,0.245,1
37,Employed,11.4,42103,578,1.5,139,19951,0,1,0,Personal Loan,Education,28600,15.39,0.474,0.679,0.226,0
35,Employed,2.7,48086,563,12.7,207,6065,0,0,0,Personal Loan,Debt Consolidation,76600,15.46,0.126,1.593,0.531,0
24,Student,0.1,25632,631,0.4,232,4488,0,0,0,Personal Loan,Debt Consolidation,39200,13.07,0.175,1.529,0.51,0
40,Student,0.4,18179,668,15.1,185,2840,0,0,0,Personal Loan,Home Improvement,20200,12.65,0.156,1.111,0.37,0
35,Employed,0.8,20412,608,8.8,63,5311,0,0,0,Personal Loan,Education,35300,14.34,0.26,1.729,0.576,1
53,Employed,19.7,52091,686,14.9,2311,11215,0,0,0,Personal Loan,Personal,77700,12.66,0.215,1.492,0.497,1
54,Employed,20.7,51406,709,4.9,9605,10095,0,0,0,Personal Loan,Debt Consolidation,91100,10.51,0.196,1.772,0.591,0
43,Employed,4.7,62306,805,11.7,1320,13640,0,1,0,Personal Loan,Personal,24000,9.47,0.219,0.385,0.128,1
32,Employed,1.4,24137,690,12.5,360,11216,0,0,0,Personal Loan,Education,13000,12.6,0.465,0.539,0.18,1
18,Employed,0.0,40928,639,0.1,0,13320,0,0,0,Personal Loan,Education,42800,13.06,0.325,1.046,0.349,0
23,Employed,0.7,33180,626,2.6,96,17705,0,1,1,Personal Loan,Home Improvement,1700,13.2,0.534,0.051,0.017,0
24,Self-Employed,1.5,46639,617,1.6,65,13742,0,1,0,Personal Loan,Medical,13500,14.46,0.295,0.289,0.096,1
44,Employed,4.7,30511,680,12.3,77,17780,0,1,0,Personal Loan,Education,1100,11.44,0.583,0.036,0.012,0
41,Employed,17.4,83623,671,12.2,1378,1648,0,0,0,Personal Loan,Home Improvement,100000,12.96,0.02,1.196,0.399,1
42,Student,1.5,15056,697,0.7,6,6066,0,1,0,Personal Loan,Business,16500,11.12,0.403,1.096,0.365,0
35,Employed,15.7,41317,643,14.2,119,4687,0,3,0,Personal Loan,Home Improvement,4700,14.16,0.113,0.114,0.038,0
18,Self-Employed,1.0,129142,623,1.0,260,33769,0,2,0,Personal Loan,Business,100000,13.12,0.261,0.774,0.258,0
41,Employed,12.3,108160,690,12.5,19729,27858,0,0,0,Personal Loan,Business,100000,12.33,0.258,0.925,0.308,1
18,Employed,0.0,24594,488,1.4,81,7965,0,0,0,Personal Loan,Education,9300,16.36,0.324,0.378,0.126,0
32,Employed,5.1,15000,548,2.7,10,4521,0,0,0,Personal Loan,Medical,1000,15.08,0.301,0.067,0.022,1
21,Employed,2.9,77214,653,2.6,4468,16849,0,0,0,Personal Loan,Business,88400,11.04,0.218,1.145,0.382,1
20,Self-Employed,1.0,34605,608,1.8,22,14925,0,1,0,Personal Loan,Education,45600,14.72,0.431,1.318,0.439,0
30,Self-Employed,1.7,26923,545,7.3,455,7715,0,3,0,Personal Loan,Personal,25700,15.0,0.287,0.955,0.318,0
26,Employed,0.2,88376,652,1.8,311,48565,0,0,0,Personal Loan,Debt Consolidation,100000,12.51,0.55,1.132,0.377,0
32,Employed,10.9,55723,708,12.8,427,15672,0,0,0,Personal Loan,Debt Consolidation,91000,10.84,0.281,1.633,0.544,1
48,Employed,19.7,74311,758,14.5,22749,30642,0,0,0,Personal Loan,Business,16600,8.15,0.412,0.223,0.074,1
31,Self-Employed,2.5,134616,664,12.2,2652,12425,0,0,0,Personal Loan,Business,69400,11.04,0.092,0.516,0.172,1
29,Employed,8.1,19187,613,1.8,16,9534,0,1,0,Personal Loan,Medical,17300,13.44,0.497,0.902,0.301,0
36,Employed,6.4,50028,622,1.0,34,21897,0,0,0,Personal Loan,Personal,23300,13.0,0.438,0.466,0.155,0
35,Employed,13.6,42671,625,14.0,363,12313,0,2,1,Personal Loan,Business,24300,13.86,0.289,0.569,0.19,0
31,Employed,6.1,65926,555,0.6,62,17566,0,1,1,Personal Loan,Education,100000,16.56,0.266,1.517,0.506,0
52,Employed,30.8,71249,784,2.6,428,3029,0,1,0,Personal Loan,Business,71500,9.28,0.043,1.004,0.335,1
48,Employed,7.4,48541,756,13.0,7170,29095,0,0,0,Personal Loan,Education,30600,9.61,0.599,0.63,0.21,0
18,Employed,0.0,35229,677,1.1,127,7715,0,0,0,Personal Loan,Education,35400,12.61,0.219,1.005,0.335,1
33,Employed,4.5,34270,572,14.2,677,7529,0,2,0,Personal Loan,Personal,56200,16.44,0.22,1.64,0.547,0
30,Employed,11.0,24103,578,9.3,3943,9588,0,0,1,Personal Loan,Medical,28700,16.45,0.398,1.191,0.397,0
37,Employed,16.1,32580,682,5.8,1534,10557,0,0,0,Personal Loan,Education,45900,12.33,0.324,1.409,0.47,1
36,Employed,13.8,24058,544,12.7,1387,1956,0,2,0,Personal Loan,Personal,35700,15.22,0.081,1.484,0.495,0
55,Employed,5.4,23370,677,16.7,775,4291,0,1,0,Personal Loan,Education,2200,12.0,0.184,0.094,0.031,1
18,Employed,0.0,51363,556,0.1,8,18145,0,1,0,Personal Loan,Personal,51500,15.12,0.353,1.003,0.334,0
18,Self-Employed,1.0,131807,612,1.4,1381,53806,0,1,0,Personal Loan,Personal,56400,13.14,0.408,0.428,0.143,0
49,Employed,4.4,122440,742,21.8,1975,34497,0,0,0,Personal Loan,Personal,100000,9.87,0.282,0.817,0.272,1
43,Employed,21.6,50160,822,0.6,22,11167,0,0,0,Personal Loan,Personal,19500,9.18,0.223,0.389,0.13,1
35,Employed,16.1,29167,650,4.4,73,7484,0,1,0,Personal Loan,Education,2000,12.86,0.257,0.069,0.023,1
28,Employed,9.4,41210,709,10.0,1983,839,0,1,0,Personal Loan,Medical,57400,10.54,0.02,1.393,0.464,1
37,Employed,5.8,26797,665,2.2,137,7706,0,0,0,Personal Loan,Education,37600,12.28,0.288,1.403,0.468,1
47,Employed,19.9,74055,780,14.5,3891,20148,0,0,0,Personal Loan,Medical,47300,8.78,0.272,0.639,0.213,1
38,Self-Employed,4.0,27073,636,8.1,256,9241,0,0,0,Personal Loan,Personal,24600,14.44,0.341,0.909,0.303,1
33,Employed,8.6,61369,590,8.0,797,13481,0,0,0,Personal Loan,Medical,100000,16.47,0.22,1.629,0.543,0
58,Employed,29.1,111857,621,16.8,7282,17522,0,0,0,Personal Loan,Medical,65600,14.98,0.157,0.586,0.195,1
19,Employed,0.9,77507,692,2.0,1331,23561,0,0,0,Personal Loan,Personal,99500,12.88,0.304,1.284,0.428,0
35,Employed,0.9,16266,663,5.0,38,2778,0,0,0,Personal Loan,Debt Consolidation,9400,12.83,0.171,0.578,0.193,0
33,Self-Employed,7.6,49195,731,6.2,1360,22809,0,0,0,Personal Loan,Medical,24300,10.07,0.464,0.494,0.165,1
36,Employed,16.2,152629,696,11.4,9484,24368,0,1,1,Personal Loan,Business,100000,12.19,0.16,0.655,0.218,1
44,Employed,22.2,98819,624,24.0,2791,55666,0,1,0,Personal Loan,Business,100000,13.16,0.563,1.012,0.337,0
36,Self-Employed,10.4,50755,627,17.6,4066,25832,0,0,0,Personal Loan,Debt Consolidation,76200,13.06,0.509,1.501,0.5,0
21,Self-Employed,1.0,84870,623,1.3,328,49655,0,0,0,Personal Loan,Personal,99600,13.24,0.585,1.174,0.391,0
27,Self-Employed,4.9,64747,593,5.9,4997,30250,0,1,0,Personal Loan,Personal,59800,15.67,0.467,0.924,0.308,0
26,Self-Employed,2.1,144964,700,2.2,1778,74267,0,0,0,Personal Loan,Debt Consolidation,56100,9.58,0.512,0.387,0.129,0
45,Employed,6.0,50719,541,9.1,866,10955,0,0,0,Personal Loan,Personal,61100,16.85,0.216,1.205,0.402,1
34,Self-Employed,10.2,99749,578,7.3,2809,15902,1,2,1,Personal Loan,Education,100000,15.82,0.159,1.003,0.334,0
